ID_1	cognate_1	language_1	cognateID_results_1	cognateID_wiki_1	borrowed_1	pgmc_forms_results_1	pgmc_forms_wiki_1		ID_2	cognate_2	language_2	cognateID_results_2	cognateID_wiki_2	borrowed_2	pgmc_forms_results_2	pgmc_forms_wiki_2
486	lick	en	37793	2786	false	*likkōn-	likkōną		488	lecken	de	37793	2786	false	*likkōn-	likkōną
465	lie	en	38394	2756	false	*leg(j)an-	leuganą		476	lie	en	38394	2756	false	*leugan-	leuganą
465	lie	en	38394	2781	false	*leg(j)an-	ligjaną		467	liegen	de	38394	2781	false	*leg(j)an-	ligjaną
465	lie	en	38394	2781	false	*leg(j)an-	ligjaną		476	lie	en	38394	2781	false	*leugan-	ligjaną
467	liegen	de	38394	2781	false	*leg(j)an-	ligjaną		476	lie	en	38394	2781	false	*leugan-	ligjaną
465	lie	en	38394	2831	false	*leg(j)an-	lugiz		476	lie	en	38394	2831	false	*leugan-	lugiz
483	liver	en	12642	2780	false	*librō-	librō		484	Leber	de	12642	2780	false	*librō-	librō
501	man	en	13702	2914	false	*mannan-	mann-		502	Mann	de	13702	2914	false	*mannan-	mann-
508	mjólk	is	14130	2979	false	*mel(u)kan-	meluks		510	Milch	de	14130	2979	false	*mel(u)kan-	meluks
512	moon	en	14340	2983	false	*mēnan-	mēnô		514	Mond	de	14340	2983	false	*mēnan-	mēnô
515	month	en	14296	2984	false	*mēnōþ-	mēnōþs		517	Monat	de	14296	2984	false	*mēnōþ-	mēnōþs
520	Mutter	de	14678	3051	false	*mōder-	mōdēr		521	mother	en	14678	3051	false	*mōder-	mōdēr
523	moor	en	14418	3059	false	*mōra-	mōraz		524	Moor	de	14418	3059	true	*mōra-	mōraz
530	morgunn	is	14503	3089	false	*murge	murginaz		532	Morgen	de	14503	3089	false	*murge	murginaz
533	mouse	en	13847	3099	false	*mūs-	mūs		535	Maus	de	13847	3099	false	*mūs-	mūs
536	midge	en	14567	3069	false	*muwī-	mugjǭ		538	Mücke	de	14567	3069	false	*muwī-	mugjǭ
539	Nabel	de	14777	3104	false	*nablan-	nabalô		540	navel	en	14777	3104	false	*nablan-	nabalô
541	nail	en	14982	3110	false	*nagl-	naglaz		543	Nagel	de	14982	3110	false	*nagl-	naglaz
544	night	en	14869	3113	false	*naht-	nahts		546	Nacht	de	14869	3113	false	*naht-	nahts
544	night	en	14869	3113	false	*naht-	nahts		547	nótt	is	14869	3113	false	*naht-	nahts
546	Nacht	de	14869	3113	false	*naht-	nahts		547	nótt	is	14869	3113	false	*naht-	nahts
548	naked	en	39133	3115	false	*nakwe	nakwadaz		550	nackt	de	39133	3115	false	*nakwe	nakwadaz
548	naked	en	39133	3117	false	*nakwe	nakwōną		550	nackt	de	39133	3117	false	*nakwe	nakwōną
564	needle	en	14904	3166	false	*nēan-	nēþlō		566	Nadel	de	14904	3166	false	*nēan-	nēþlō
571	nest	en	15245	3155	false	*nista-	nestą		572	Nest	de	15245	3155	false	*nista-	nestą
576	path	en	15953	3227	false	*paþa-	paþaz		578	Pfad	de	15953	3227	false	*paþa-	paþaz
608	See	de	19105	3413	false	sīhwan-	saiwiz		609	See	de	19105	3413	false	sīhwan-	saiwiz
611	salt	en	17473	3429	false	*salta-	saltą		613	Salz	de	17473	3429	false	*salta-	saltą
614	Sand	de	17547	3441	false	*samda-	samdaz		615	sand	en	17547	3441	false	*samda-	samdaz
622	sink	en	50145	3548	false	*sankwjan-	sinkwaną		650	sink	en	50145	3548	false	*sinkwan-	sinkwaną
625	seven	en	45919	3471	false	*sebun-	sebun		627	sieben	de	45919	3471	false	*sebun-	sebun
634	sehen	de	44748	3485	false	*sehwan-	sehwaną		635	see	en	44748	3485	false	*sehwan-	sehwaną
634	sehen	de	44748	3485	false	*sehwan-	sehwaną		641	see	en	44748	3485	false	*sīhwan-	sehwaną
635	see	en	44748	3485	false	*sehwan-	sehwaną		641	see	en	44748	3485	false	*sīhwan-	sehwaną
638	sit	en	46228	3556	false	*set(j)an-	sitjaną		640	sitzen	de	46228	3556	false	*set(j)an-	sitjaną
642	silver	en	19299	3537	false	*silubra-	silubrą		644	Silber	de	19299	3537	false	*silubra-	silubrą
645	sing	en	46116	3545	false	*singwan-	singwaną		647	singen	de	46116	3545	false	*singwan-	singwaną
652	shadow	en	17797	3566	false	*skadu-	skadwaz		654	Schatten	de	17797	3566	false	*skadu-	skadwaz
655	scharf	de	42390	3602	false	*skarpa-	skarpaz		656	sharp	en	42390	3602	false	*skarpa-	skarpaz
671	shoe	en	18672	3664	false	*skōha-	skōhaz		673	Schuh	de	18672	3664	false	*skōha-	skōhaz
686	sleep	en	42939	3708	false	*slēpan-	slēpaną		688	schlafen	de	42939	3708	false	*slēpan-	slēpaną
693	snow	en	18453	3766	false	*snaiwa-	snaiwaz		695	Schnee	de	18453	3766	false	*snaiwa-	snaiwaz
701	spade	en	19594	3804	false	*spadan-	spadô		702	Spaten	de	19594	3804	false	*spadan-	spadô
705	sprechen	de	46701	3852	false	*sprekan-	sprekaną		706	speak	en	46701	3852	false	*sprekan-	sprekaną
712	staff	en	20039	3867	false	*staba-	stabaz		714	Stab	de	20039	3867	false	*staba-	stabaz
716	stone	en	20366	3880	false	*staina-	stainaz		718	Stein	de	20366	3880	false	*staina-	stainaz
728	steal	en	47042	3910	false	*stelan-	stelaną		730	stehlen	de	47042	3910	false	*stelan-	stelaną
753	sound	en	36445	4020	true	*swimman-	sundą		753	sound	en	36445	4020	false	*swimman-	sundą
758	sour	en	42282	4045	false	*sūra-	sūraz		760	sauer	de	42282	4045	false	*sūra-	sūraz
763	swan	en	18835	4063	false	*swana-	swanaz		765	Schwan	de	18835	4063	false	*swana-	swanaz
771	sister	en	19045	4097	false	*swester-	swestēr		771	sister	en	19045	4097	true	*swester-	swestēr
771	sister	en	19045	4097	false	*swester-	swestēr		773	Schwester	de	19045	4097	false	*swester-	swestēr
771	sister	en	19045	4097	true	*swester-	swestēr		773	Schwester	de	19045	4097	false	*swester-	swestēr
774	sweet	en	47666	4119	false	*swōtu-	swōtuz		776	süß	de	47666	4119	false	*swōtu-	swōtuz
778	tear	en	52870	4123	false	*tagra-	tahrą		791	tear	en	52870	4123	false	*teran-	tahrą
778	tear	en	52870	4170	false	*tagra-	teraną		791	tear	en	52870	4170	false	*teran-	teraną
788	ten	en	52665	4162	false	*tehun-	tehun		790	zehn	de	52665	4162	false	*tehun-	tehun
801	tongue	en	23980	4255	false	*tungōn-	tungǭ		803	Zunge	de	23980	4255	false	*tungōn-	tungǭ
807	zwölf	de	53902	4269	false	*twalifa-	twalif		808	twelve	en	53902	4269	false	*twalifa-	twalif
814	think	en	28924	4777	false	*ϸankjan-	þankijaną		839	think	en	28924	4777	false	*þunkjan-	þankijaną
814	think	en	28924	4881	false	*ϸankjan-	þunkijaną		839	think	en	28924	4881	false	*þunkjan-	þunkijaną
818	thick	en	29037	4796	false	*ϸeku-	þekuz		820	dick	de	29037	4796	false	*ϸeku-	þekuz
827	flee	en	32193	1298	false	*ϸleuhan-	fleuhaną		828	fliehen	de	32193	1298	false	*ϸleuhan-	fleuhaną
834	three	en	29348	4862	false	*ϸrī-	þrīz		836	drei	de	29348	4862	false	*ϸrī-	þrīz
840	thin	en	29696	4883	false	*ϸunnu-	þunnuz		842	dünn	de	29696	4883	false	*ϸunnu-	þunnuz
845	ofn	is	15604	4301	false	*ufna-	uhnaz		846	Ofen	de	15604	4301	false	*ufna-	uhnaz
851	owl	en	4510	4356	false	*uwwilōn-	uwwalǭ		853	Eule	de	4510	4356	false	*uwwilōn-	uwwalǭ
863	wet	en	39287	4575	false	*watar-	wētijaną		863	wet	en	39287	4575	false	*watar-	wētijaną
877	weather	en	22942	4526	false	*weþra-	wedrą		879	Wetter	de	22942	4526	false	*weþra-	wedrą
882	wind	en	23139	4628	false	*winda-	windaz		883	Wind	de	23139	4628	false	*winda-	windaz
888	wolf	en	23280	4731	false	*wulfa-	wulfaz		889	Wolf	de	23280	4731	false	*wulfa-	wulfaz
890	wool	en	23406	4738	false	*wullō-	wullō		892	Wolle	de	23406	4738	false	*wullō-	wullō
895	wish	en	52596	4747	false	*wunska-	wunskijaną		897	wünschen	de	52596	4747	false	*wunska-	wunskijaną
898	word	en	23420	4749	false	*wurda-	wurdą		900	Wort	de	23420	4749	false	*wurda-	wurdą
